InvoiceNo,CustomerID,StockCode,Quantity,InvoiceDate
536365,17850,22752,2,2010-01-12 08:26:00
536367,13047,22748,6,2010-01-12 08:34:00
536367,13047,22623,3,2010-01-12 08:34:00
536367,13047,22622,2,2010-01-12 08:34:00
536368,13047,22912,3,2010-01-12 08:34:00
536368,13047,22914,3,2010-01-12 08:34:00
536370,12583,21883,24,2010-01-12 08:45:00
536370,12583,10002,48,2010-01-12 08:45:00
536370,12583,22629,24,2010-01-12 08:45:00
536373,17850,22752,2,2010-01-12 09:02:00
536374,15100,21258,32,2010-01-12 09:09:00
536375,17850,22752,2,2010-01-12 09:32:00
536378,14688,20723,10,2010-01-12 09:37:00
536378,14688,21559,6,2010-01-12 09:37:00
536378,14688,22352,6,2010-01-12 09:37:00
536378,14688,21212,120,2010-01-12 09:37:00
536378,14688,21977,24,2010-01-12 09:37:00
536378,14688,85183B,48,2010-01-12 09:37:00
536381,15311,84854,5,2010-01-12 09:41:00
536381,15311,71270,1,2010-01-12 09:41:00
536381,15311,22262,1,2010-01-12 09:41:00
536381,15311,22637,1,2010-01-12 09:41:00
536381,15311,22083,1,2010-01-12 09:41:00
536381,15311,71270,3,2010-01-12 09:41:00
536381,15311,22261,1,2010-01-12 09:41:00
536381,15311,21557,2,2010-01-12 09:41:00
536381,15311,22176,1,2010-01-12 09:41:00
536382,16098,10002,12,2010-01-12 09:45:00
536382,16098,21832,12,2010-01-12 09:45:00
536382,16098,22379,10,2010-01-12 09:45:00
536384,18074,22470,40,2010-01-12 09:53:00
536387,16029,79321,192,2010-01-12 09:58:00
536387,16029,22466,432,2010-01-12 09:58:00
536389,12431,21622,8,2010-01-12 10:03:00
536390,17511,22968,8,2010-01-12 10:19:00
536390,17511,21485,24,2010-01-12 10:19:00
536390,17511,84030E,24,2010-01-12 10:19:00
536390,17511,22174,48,2010-01-12 10:19:00
C536391,17548,21984,-24,2010-01-12 10:24:00
C536391,17548,21983,-24,2010-01-12 10:24:00
C536391,17548,21484,-12,2010-01-12 10:24:00
C536391,17548,22557,-12,2010-01-12 10:24:00
C536391,17548,22553,-24,2010-01-12 10:24:00
536394,13408,21485,12,2010-01-12 10:39:00
536394,13408,22558,48,2010-01-12 10:39:00
536394,13408,22652,20,2010-01-12 10:39:00
536395,13767,21977,24,2010-01-12 10:47:00
536395,13767,21212,24,2010-01-12 10:47:00
536395,13767,21484,8,2010-01-12 10:47:00
536396,17850,22752,2,2010-01-12 10:51:00
536398,13448,22468,4,2010-01-12 10:52:00
536398,13448,22637,8,2010-01-12 10:52:00
536398,13448,22752,6,2010-01-12 10:52:00
536398,13448,22449,6,2010-01-12 10:52:00
536398,13448,22112,9,2010-01-12 10:52:00
536398,13448,21479,4,2010-01-12 10:52:00
536401,15862,22100,2,2010-01-12 11:21:00
536401,15862,84744,1,2010-01-12 11:21:00
536401,15862,21328,1,2010-01-12 11:21:00
536401,15862,84510A,2,2010-01-12 11:21:00
536401,15862,22809,1,2010-01-12 11:21:00
536401,15862,20963,1,2010-01-12 11:21:00
536401,15862,20961,1,2010-01-12 11:21:00
536401,15862,22068,2,2010-01-12 11:21:00
536401,15862,21743,2,2010-01-12 11:21:00
536401,15862,21744,2,2010-01-12 11:21:00
536401,15862,20992,9,2010-01-12 11:21:00
536401,15862,84030E,1,2010-01-12 11:21:00
536402,15513,22837,36,2010-01-12 11:22:00
536404,16218,85049D,12,2010-01-12 11:29:00
536404,16218,85049G,12,2010-01-12 11:29:00
536404,16218,21061,12,2010-01-12 11:29:00
536404,16218,21063,12,2010-01-12 11:29:00
536404,16218,84380,12,2010-01-12 11:29:00
536404,16218,84378,12,2010-01-12 11:29:00
536404,16218,22964,12,2010-01-12 11:29:00
536404,16218,21213,24,2010-01-12 11:29:00
536404,16218,22417,24,2010-01-12 11:29:00
536404,16218,21212,24,2010-01-12 11:29:00
536404,16218,84992,24,2010-01-12 11:29:00
536404,16218,20728,10,2010-01-12 11:29:00
536404,16218,20727,10,2010-01-12 11:29:00
536404,16218,22296,24,2010-01-12 11:29:00
536406,17850,22752,2,2010-01-12 11:33:00
536408,14307,20982,12,2010-01-12 11:41:00
536408,14307,21832,12,2010-01-12 11:41:00
536408,14307,21544,12,2010-01-12 11:41:00
536408,14307,21479,4,2010-01-12 11:41:00
536408,14307,22964,6,2010-01-12 11:41:00
536408,14307,22418,24,2010-01-12 11:41:00
536408,14307,22178,12,2010-01-12 11:41:00
536408,14307,22706,25,2010-01-12 11:41:00
536408,14307,22371,4,2010-01-12 11:41:00
536408,14307,21212,24,2010-01-12 11:41:00
536408,14307,22914,3,2010-01-12 11:41:00
536408,14307,22553,12,2010-01-12 11:41:00
536408,14307,16237,30,2010-01-12 11:41:00
536409,17908,21479,1,2010-01-12 11:45:00
536409,17908,22785,1,2010-01-12 11:45:00
536409,17908,22568,1,2010-01-12 11:45:00
536409,17908,21866,1,2010-01-12 11:45:00
536409,17908,22109,1,2010-01-12 11:45:00
536409,17908,21678,6,2010-01-12 11:45:00
536409,17908,21676,6,2010-01-12 11:45:00
536409,17908,84906,1,2010-01-12 11:45:00
536409,17908,21867,1,2010-01-12 11:45:00
536409,17908,20717,1,2010-01-12 11:45:00
536409,17908,20723,1,2010-01-12 11:45:00
536409,17908,22112,1,2010-01-12 11:45:00
536412,17920,20728,3,2010-01-12 11:49:00
536412,17920,20727,3,2010-01-12 11:49:00
536412,17920,22629,1,2010-01-12 11:49:00
536412,17920,22652,5,2010-01-12 11:49:00
536412,17920,22759,1,2010-01-12 11:49:00
536412,17920,22837,3,2010-01-12 11:49:00
536412,17920,22759,5,2010-01-12 11:49:00
536412,17920,22568,3,2010-01-12 11:49:00
536412,17920,22570,3,2010-01-12 11:49:00
536412,17920,22569,2,2010-01-12 11:49:00
536412,17920,22968,4,2010-01-12 11:49:00
536412,17920,22179,2,2010-01-12 11:49:00
536412,17920,22468,2,2010-01-12 11:49:00
536415,12838,22738,3,2010-01-12 11:57:00
536415,12838,22470,1,2010-01-12 11:57:00
