StockCode,Description,UnitPrice
22752,SET 7 BABUSHKA NESTING BOXES,7.65
22748,POPPY'S PLAYHOUSE KITCHEN,2.1
22623,BOX OF VINTAGE JIGSAW BLOCKS ,4.95
22622,BOX OF VINTAGE ALPHABET BLOCKS,9.95
22912,YELLOW COAT RACK PARIS FASHION,4.95
22914,BLUE COAT RACK PARIS FASHION,4.95
21883,STARS GIFT TAPE ,0.65
10002,INFLATABLE POLITICAL GLOBE ,0.85
22629,SPACEBOY LUNCH BOX ,1.95
21258,VICTORIAN SEWING BOX LARGE,10.95
20723,STRAWBERRY CHARLOTTE BAG,0.85
21559,STRAWBERRY LUNCH BOX WITH CUTLERY,2.55
22352,LUNCH BOX WITH CUTLERY RETROSPOT ,2.55
21212,PACK OF 72 RETROSPOT CAKE CASES,0.42
21977,PACK OF 60 PINK PAISLEY CAKE CASES,0.55
85183B,CHARLIE & LOLA WASTEPAPER BIN FLORA,1.25
84854,GIRLY PINK TOOL SET,4.95
71270,PHOTO CLIP LINE,1.25
22262,FELT EGG COSY CHICKEN,0.85
22637,PIGGY BANK RETROSPOT ,2.55
22083,PAPER CHAIN KIT RETROSPOT,2.95
22261,FELT EGG COSY WHITE RABBIT ,0.85
21557,SET OF 6 FUNKY BEAKERS,2.95
22176,BLUE OWL SOFT TOY,2.95
21832,CHOCOLATE CALCULATOR,1.65
22379,RECYCLING BAG RETROSPOT ,2.1
22470,HEART OF WICKER LARGE,2.55
79321,CHILLI LIGHTS,3.82
22466,FAIRY TALE COTTAGE NIGHTLIGHT,1.45
21622,VINTAGE UNION JACK CUSHION COVER,4.95
22968,ROSE COTTAGE KEEPSAKE BOX ,8.5
21485,RETROSPOT HEART HOT WATER BOTTLE,4.25
84030E,ENGLISH ROSE HOT WATER BOTTLE,3.75
22174,PHOTO CUBE,1.48
21984,PACK OF 12 PINK PAISLEY TISSUES ,0.29
21983,PACK OF 12 BLUE PAISLEY TISSUES ,0.29
21484,CHICK GREY HOT WATER BOTTLE,3.45
22557,PLASTERS IN TIN VINTAGE PAISLEY ,1.65
22553,PLASTERS IN TIN SKULLS,1.65
21485,RETROSPOT HEART HOT WATER BOTTLE,4.95
22558,CLOTHES PEGS RETROSPOT PACK 24 ,1.25
22652,TRAVEL SEWING KIT,1.65
21212,PACK OF 72 RETROSPOT CAKE CASES,0.55
22468,BABUSHKA LIGHTS STRING OF 10,6.75
22752,SET 7 BABUSHKA NESTING BOXES,8.5
22449,SILK PURSE BABUSHKA PINK,3.35
22112,CHOCOLATE HOT WATER BOTTLE,4.95
21479,WHITE SKULL HOT WATER BOTTLE ,3.75
22100,SKULLS SQUARE TISSUE BOX,1.25
84744,S/6 SEW ON CROCHET FLOWERS,1.25
21328,BALLOONS  WRITING SET ,1.65
84510A,SET OF 4 ENGLISH ROSE COASTERS,1.25
22809,SET OF 6 T-LIGHTS SANTA,2.95
20963,APPLE BATH SPONGE,1.25
20961,STRAWBERRY BATH SPONGE ,1.25
22068,BLACK PIRATE TREASURE CHEST,1.65
